ExperimentName	DisplayRunNumber	HCPID	Subject	Session	RandomSeed	Group	Display.RefreshRate	triggercode	Allowed	Target	Nontarget	FontStyle	ACC_2_Back_Face	Avg_RT_For_Correct_Trials_2_Back_Face	ACC_0_Back_Face	Avg_RT_For_Correct_Trials_0_Back_Face	ACC_2_Back_Tools	Avg_RT_For_Correct_Trials_2_Back_Tools	ACC_0_Back_Tools	Avg_RT_For_Correct_Trials_0_Back_Tools	FeelFreeToRest.OnsetDelay	FeelFreeToRest.OnsetTime	FeelFreeToRest.DurationError	FeelFreeToRest.StartTime	MasterList	Procedure[Block]	Stimulus[Block]	BlockNumber	MasterList.Cycle	MasterList.Sample	Running[Block]	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.DurationError	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.DurationError	CueTarget.OnsetDelay	CueTarget.OnsetTime	CueTarget.DurationError	Run1Block1	TargetType	CorrectResponse	StimType	BlockType	Stim.OnsetDelay	Stim.OnsetTime	Stim.DurationError	Stim.RTTime	Stim.ACC	Stim.RT	Stim.RESP	Stim.CRESP	Fix.OnsetDelay	Fix.OnsetTime	Fix.DurationError	Cue2Back.OnsetDelay	Cue2Back.OnsetTime	Cue2Back.DurationError	Run1Block2	Fix15sec.OnsetDelay	Fix15sec.OnsetTime	Fix15sec.DurationError	Run1Block3	Run1Block4	Run1Block5	Run1Block6	Run1Block7	Run1Block8	Run2Block1	Run2Block2	Run2Block3	Run2Block4	Run2Block5	Run2Block6	Run2Block7	Run2Block8	Block	Procedure[Trial]	Stimulus[Trial]	ReadyList	Running[Trial]	ReadyList.Cycle	ReadyList.Sample	SyncSlide.OnsetDelay	SyncSlide.OnsetTime	SyncSlide.DurationError	SyncSlide.FinishTime	Trial
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run1of2	1	CP100307	1	1	-1891132136	1	60.003	7	{ANY}	7	8	Verdana	0.9	937.527777777778	1	754.875	0.875	946.514285714286	0.95	785.973684210526	3	639708	-999999	639607	1	TRSyncPROC	?	0	1	1	MasterList	7	27723	-999999	7	68487	-999999																																									1	InitialTR	4	1	ReadyList	1	1	16	71721	-16	73605	1
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run1of2	1	CP100307	1	1	-1891132136	1	60.003	7	{ANY}	7	8	Verdana	0.9	937.527777777778	1	754.875	0.875	946.514285714286	0.95	785.973684210526	3	639708	-999999	639607	1	TRSyncPROC	?	0	1	1	MasterList	7	27723	-999999	7	68487	-999999																																									1	InitialTR	3	2	ReadyList	1	2	-1	73704	1	75606	2
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run1of2	1	CP100307	1	1	-1891132136	1	60.003	7	{ANY}	7	8	Verdana	0.9	937.527777777778	1	754.875	0.875	946.514285714286	0.95	785.973684210526	3	639708	-999999	639607	1	TRSyncPROC	?	0	1	1	MasterList	7	27723	-999999	7	68487	-999999																																									1	InitialTR	2	3	ReadyList	1	3	-1	75704	1	77606	3
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run1of2	1	CP100307	1	1	-1891132136	1	60.003	7	{ANY}	7	8	Verdana	0.9	937.527777777778	1	754.875	0.875	946.514285714286	0.95	785.973684210526	3	639708	-999999	639607	1	TRSyncPROC	?	0	1	1	MasterList	7	27723	-999999	7	68487	-999999																																									1	InitialTR	1	4	ReadyList	1	4	-1	77704	1	79606	4
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run1of2	1	CP100307	1	1	-1891132136	1	60.003	7	{ANY}	7	8	Verdana	0.9	937.527777777778	1	754.875	0.875	946.514285714286	0.95	785.973684210526	3	639708	-999999	639607	2	Cue0BackPROC	TO_001_TOOL1_BA.png	1	1	2	MasterList							-1	79704	1																																						2											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run1of2	1	CP100307	1	1	-1891132136	1	60.003	7	{ANY}	7	8	Verdana	0.9	937.527777777778	1	754.875	0.875	946.514285714286	0.95	785.973684210526	3	639708	-999999	639607	3	TrialsPROC	TO_005_TOOL5_BA.png	1	1	3	MasterList										1	nontarget	8	Tools	0-Back	-2	82203	2	82958	1	755	8	8	-2	84203	2																						3											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run1of2	1	CP100307	1	1	-1891132136	1	60.003	7	{ANY}	7	8	Verdana	0.9	937.527777777778	1	754.875	0.875	946.514285714286	0.95	785.973684210526	3	639708	-999999	639607	3	TrialsPROC	TO_001_TOOL1_BA.png	1	1	4	MasterList										2	target	7	Tools	0-Back	-2	84703	2	85694	1	991	7	7	-2	86703	2																						4											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run1of2	1	CP100307	1	1	-1891132136	1	60.003	7	{ANY}	7	8	Verdana	0.9	937.527777777778	1	754.875	0.875	946.514285714286	0.95	785.973684210526	3	639708	-999999	639607	3	TrialsPROC	TO_003_TOOL3_BA.png	1	1	5	MasterList										3	nontarget	8	Tools	0-Back	-2	87203	2	87806	1	603	8	8	-2	89203	2																						5											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run1of2	1	CP100307	1	1	-1891132136	1	60.003	7	{ANY}	7	8	Verdana	0.9	937.527777777778	1	754.875	0.875	946.514285714286	0.95	785.973684210526	3	639708	-999999	639607	3	TrialsPROC	TO_004_TOOL4_BA.png	1	1	6	MasterList										4	nontarget	8	Tools	0-Back	-2	89703	2	90397	1	694	8	8	-2	91703	2																						6											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run1of2	1	CP100307	1	1	-1891132136	1	60.003	7	{ANY}	7	8	Verdana	0.9	937.527777777778	1	754.875	0.875	946.514285714286	0.95	785.973684210526	3	639708	-999999	639607	3	TrialsPROC	TO_004_TOOL4_BA.png	1	1	7	MasterList										5	lure	8	Tools	0-Back	-2	92203	2	93054	1	851	8	8	-2	94203	2																						7											
