ExperimentName	DisplayRunNumber	HCPID	Subject	Session	RandomSeed	Group	Display.RefreshRate	triggercode	Allowed	Target	Nontarget	FontStyle	ACC_2_Back_Face	Avg_RT_For_Correct_Trials_2_Back_Face	ACC_0_Back_Face	Avg_RT_For_Correct_Trials_0_Back_Face	ACC_2_Back_Tools	Avg_RT_For_Correct_Trials_2_Back_Tools	ACC_0_Back_Tools	Avg_RT_For_Correct_Trials_0_Back_Tools	FeelFreeToRest.OnsetDelay	FeelFreeToRest.OnsetTime	FeelFreeToRest.DurationError	FeelFreeToRest.StartTime	MasterList	Procedure[Block]	Stimulus[Block]	BlockNumber	MasterList.Cycle	MasterList.Sample	Running[Block]	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.DurationError	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.DurationError	Cue2Back.OnsetDelay	Cue2Back.OnsetTime	Cue2Back.DurationError	Run3Block1	TargetType	CorrectResponse	StimType	BlockType	Stim.OnsetDelay	Stim.OnsetTime	Stim.DurationError	Stim.RTTime	Stim.ACC	Stim.RT	Stim.RESP	Stim.CRESP	Fix.OnsetDelay	Fix.OnsetTime	Fix.DurationError	Run3Block2	Fix15sec.OnsetDelay	Fix15sec.OnsetTime	Fix15sec.DurationError	CueTarget.OnsetDelay	CueTarget.OnsetTime	CueTarget.DurationError	Run3Block3	Run3Block4	Run3Block5	Run3Block6	Run3Block7	Run3Block8	Run4Block1	Run4Block2	Run4Block3	Run4Block4	Run4Block5	Run4Block6	Run4Block7	Run4Block8	Block	Procedure[Trial]	Stimulus[Trial]	ReadyList	Running[Trial]	ReadyList.Cycle	ReadyList.Sample	SyncSlide.OnsetDelay	SyncSlide.OnsetTime	SyncSlide.DurationError	SyncSlide.FinishTime	Trial
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run2of2	Run Number >> 2 << out of 2 runs	CP100307	1	1	2110473506	1	60.009	7	{ANY}	7	8	Verdana	0.925	765.189189189189	0.925	727.081081081081	0.925	906.027027027027	1	674.125	-3	588201	-999999	588106	1	TRSyncPROC	?	0	1	1	MasterList	7	11714	-999999	9	18197	-999999																																									1	InitialTR	4	1	ReadyList	1	1	10	20214	-10	22104	1
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run2of2	Run Number >> 2 << out of 2 runs	CP100307	1	1	2110473506	1	60.009	7	{ANY}	7	8	Verdana	0.925	765.189189189189	0.925	727.081081081081	0.925	906.027027027027	1	674.125	-3	588201	-999999	588106	1	TRSyncPROC	?	0	1	1	MasterList	7	11714	-999999	9	18197	-999999																																									1	InitialTR	3	2	ReadyList	1	2	10	22214	-10	24104	2
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run2of2	Run Number >> 2 << out of 2 runs	CP100307	1	1	2110473506	1	60.009	7	{ANY}	7	8	Verdana	0.925	765.189189189189	0.925	727.081081081081	0.925	906.027027027027	1	674.125	-3	588201	-999999	588106	1	TRSyncPROC	?	0	1	1	MasterList	7	11714	-999999	9	18197	-999999																																									1	InitialTR	2	3	ReadyList	1	3	10	24214	-10	26104	3
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run2of2	Run Number >> 2 << out of 2 runs	CP100307	1	1	2110473506	1	60.009	7	{ANY}	7	8	Verdana	0.925	765.189189189189	0.925	727.081081081081	0.925	906.027027027027	1	674.125	-3	588201	-999999	588106	1	TRSyncPROC	?	0	1	1	MasterList	7	11714	-999999	9	18197	-999999																																									1	InitialTR	1	4	ReadyList	1	4	10	26214	-10	28104	4
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run2of2	Run Number >> 2 << out of 2 runs	CP100307	1	1	2110473506	1	60.009	7	{ANY}	7	8	Verdana	0.925	765.189189189189	0.925	727.081081081081	0.925	906.027027027027	1	674.125	-3	588201	-999999	588106	2	Cue2BackPROC	?	1	1	2	MasterList							10	28214	-10																																						2											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run2of2	Run Number >> 2 << out of 2 runs	CP100307	1	1	2110473506	1	60.009	7	{ANY}	7	8	Verdana	0.925	765.189189189189	0.925	727.081081081081	0.925	906.027027027027	1	674.125	-3	588201	-999999	588106	3	TrialsPROC	FC_053_M27.png	1	1	3	MasterList										1	nontarget	8	Face	2-Back	9	30713	-9	31738	1	1025	8	8	9	32713	-9																						3											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run2of2	Run Number >> 2 << out of 2 runs	CP100307	1	1	2110473506	1	60.009	7	{ANY}	7	8	Verdana	0.925	765.189189189189	0.925	727.081081081081	0.925	906.027027027027	1	674.125	-3	588201	-999999	588106	3	TrialsPROC	FC_050_F25.png	1	1	4	MasterList										2	nontarget	8	Face	2-Back	9	33213	-9	33889	1	676	8	8	9	35213	-9																						4											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run2of2	Run Number >> 2 << out of 2 runs	CP100307	1	1	2110473506	1	60.009	7	{ANY}	7	8	Verdana	0.925	765.189189189189	0.925	727.081081081081	0.925	906.027027027027	1	674.125	-3	588201	-999999	588106	3	TrialsPROC	FC_053_M27.png	1	1	5	MasterList										3	target	7	Face	2-Back	9	35713	-9	36305	1	592	7	7	9	37713	-9																						5											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run2of2	Run Number >> 2 << out of 2 runs	CP100307	1	1	2110473506	1	60.009	7	{ANY}	7	8	Verdana	0.925	765.189189189189	0.925	727.081081081081	0.925	906.027027027027	1	674.125	-3	588201	-999999	588106	3	TrialsPROC	FC_052_F26.png	1	1	6	MasterList										4	nontarget	8	Face	2-Back	9	38213	-9	38866	1	653	8	8	9	40213	-9																						6											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run2of2	Run Number >> 2 << out of 2 runs	CP100307	1	1	2110473506	1	60.009	7	{ANY}	7	8	Verdana	0.925	765.189189189189	0.925	727.081081081081	0.925	906.027027027027	1	674.125	-3	588201	-999999	588106	3	TrialsPROC	FC_049_M25.png	1	1	7	MasterList										5	nontarget	8	Face	2-Back	9	40713	-9	41538	1	825	8	8	9	42713	-9																						7											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run2of2	Run Number >> 2 << out of 2 runs	CP100307	1	1	2110473506	1	60.009	7	{ANY}	7	8	Verdana	0.925	765.189189189189	0.925	727.081081081081	0.925	906.027027027027	1	674.125	-3	588201	-999999	588106	3	TrialsPROC	FC_050_F25.png	1	1	8	MasterList										6	lure	8	Face	2-Back	9	43213	-9	44137	1	924	8	8	9	45213	-9																						8											
